timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742806872823,676,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1601,114,3,3,https://example.com/,666,0,509
1742806872568,931,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1601,114,3,3,https://example.com/,921,0,754
1742806873502,142,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,3,3,https://example.com/,142,0,0
1742806873504,143,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,3,3,https://example.com/,143,0,0
1742806873317,462,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1601,114,3,3,https://example.com/,462,0,312
1742806873648,143,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,3,3,https://example.com/,143,0,0
1742806873645,159,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,3,3,https://example.com/,159,0,0
1742806873780,149,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,4,4,https://example.com/,149,0,0
1742806873792,147,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,4,4,https://example.com/,147,0,0
1742806873805,143,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,4,4,https://example.com/,143,0,0
1742806873930,148,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,4,4,https://example.com/,148,0,0
1742806873940,142,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806873949,145,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,4,4,https://example.com/,145,0,0
1742806874083,143,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,4,4,https://example.com/,143,0,0
1742806874079,149,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,4,4,https://example.com/,149,0,0
1742806874095,163,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,4,4,https://example.com/,163,0,0
1742806873816,461,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1601,114,4,4,https://example.com/,461,0,312
1742806874226,145,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,5,5,https://example.com/,145,0,0
1742806874228,148,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,5,5,https://example.com/,148,0,0
1742806874259,141,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,5,5,https://example.com/,141,0,0
1742806874278,148,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,5,5,https://example.com/,148,0,0
1742806874372,142,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,5,5,https://example.com/,142,0,0
1742806874377,149,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,5,5,https://example.com/,148,0,0
1742806874401,142,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,5,5,https://example.com/,142,0,0
1742806874427,148,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,5,5,https://example.com/,148,0,0
1742806874515,145,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,5,5,https://example.com/,145,0,0
1742806874526,150,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,5,5,https://example.com/,150,0,0
1742806874543,142,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,5,5,https://example.com/,142,0,0
1742806874576,149,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,5,5,https://example.com/,149,0,0
1742806874314,454,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1601,114,5,5,https://example.com/,454,0,307
1742806874660,144,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,5,5,https://example.com/,144,0,0
1742806874686,142,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,5,5,https://example.com/,142,0,0
1742806874677,153,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,4,4,https://example.com/,153,0,0
1742806874725,153,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,4,4,https://example.com/,152,0,0
1742806874769,147,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,147,0,0
1742806874831,155,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,4,4,https://example.com/,155,0,0
1742806874878,156,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,4,4,https://example.com/,155,0,0
1742806874917,148,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,148,0,0
1742806874987,147,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,4,4,https://example.com/,147,0,0
1742806875034,149,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,3,3,https://example.com/,149,0,0
1742806875066,148,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,3,3,https://example.com/,148,0,0
1742806874814,464,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1601,114,3,3,https://example.com/,464,0,315
1742806875184,155,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,4,4,https://example.com/,155,0,0
1742806875215,148,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,148,0,0
1742806875279,150,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,150,0,0
1742806875340,158,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,4,4,https://example.com/,158,0,0
1742806875363,142,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806875430,149,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,149,0,0
1742806875506,146,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,146,0,0
1742806875498,157,Sample HTTP Request,200,OK,Sample Thread Group 1-4,text,true,,1518,114,4,4,https://example.com/,156,0,0
1742806875580,154,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,3,3,https://example.com/,154,0,0
1742806875315,442,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1601,114,3,3,https://example.com/,442,0,299
1742806875653,142,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,3,3,https://example.com/,142,0,0
1742806875735,150,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,150,0,0
1742806875758,142,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806875796,144,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,144,0,0
1742806875886,147,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,147,0,0
1742806875901,144,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,144,0,0
1742806875941,142,Sample HTTP Request,200,OK,Sample Thread Group 1-5,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806876034,148,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,3,3,https://example.com/,148,0,0
1742806876046,146,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,3,3,https://example.com/,146,0,0
1742806875813,459,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1601,114,3,3,https://example.com/,458,0,310
1742806876183,150,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,150,0,0
1742806876193,150,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,150,0,0
1742806876272,145,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,4,4,https://example.com/,145,0,0
1742806876334,148,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,148,0,0
1742806876343,142,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806876418,142,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806876486,143,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,143,0,0
1742806876483,149,Sample HTTP Request,200,OK,Sample Thread Group 1-6,text,true,,1518,114,4,4,https://example.com/,148,0,0
1742806876561,146,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,3,3,https://example.com/,146,0,0
1742806876311,444,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1601,114,3,3,https://example.com/,444,0,303
1742806876630,142,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,3,3,https://example.com/,142,0,0
1742806876707,148,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,4,4,https://example.com/,148,0,0
1742806876756,143,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,4,4,https://example.com/,143,0,0
1742806876773,142,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806876856,142,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806876900,142,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,4,4,https://example.com/,142,0,0
1742806876916,183,Sample HTTP Request,200,OK,Sample Thread Group 1-7,text,true,,1518,114,4,4,https://example.com/,183,0,0
1742806876998,143,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,3,3,https://example.com/,142,0,0
1742806877043,164,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,3,3,https://example.com/,163,0,0
1742806877141,143,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,3,3,https://example.com/,143,0,0
1742806876810,483,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1601,114,3,3,https://example.com/,483,0,335
1742806877207,144,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,3,3,https://example.com/,143,0,0
1742806877285,142,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,3,3,https://example.com/,142,0,0
1742806877294,157,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,3,3,https://example.com/,157,0,0
1742806877351,143,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,3,3,https://example.com/,143,0,0
1742806877428,142,Sample HTTP Request,200,OK,Sample Thread Group 1-8,text,true,,1518,114,3,3,https://example.com/,142,0,0
1742806877452,149,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,2,2,https://example.com/,149,0,0
1742806877495,142,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,2,2,https://example.com/,142,0,0
1742806877602,156,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,2,2,https://example.com/,156,0,0
1742806877638,143,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,2,2,https://example.com/,143,0,0
1742806877759,149,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,2,2,https://example.com/,149,0,0
1742806877781,143,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,2,2,https://example.com/,143,0,0
1742806877909,148,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,2,2,https://example.com/,148,0,0
1742806877924,149,Sample HTTP Request,200,OK,Sample Thread Group 1-9,text,true,,1518,114,2,2,https://example.com/,149,0,0
1742806878058,167,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,1,1,https://example.com/,167,0,0
1742806878225,156,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,1,1,https://example.com/,156,0,0
1742806878381,148,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,1,1,https://example.com/,148,0,0
1742806878530,149,Sample HTTP Request,200,OK,Sample Thread Group 1-10,text,true,,1518,114,1,1,https://example.com/,149,0,0
